RANK,FEATURE,RELEVANCE,TYPE,FIELD_ID,DATASET_ID,FUNCTION
0,OnlinePOSCount.cnt.day.present,0.1175,continuous,330,1,predictor
1,EMVTransactionsCount.cnt.day.present,0.1148,continuous,234,1,predictor
2,NonEMVTransactionsCount.cnt.day.present,0.1147,continuous,146,1,predictor
3,MerchantCategory,0.1082,continuous,13,1,predictor
4,POS_Count.cnt.day.present,0.1076,continuous,282,1,predictor
5,PinIndicator,0.1053,categorical,71,1,predictor
6,DomesticAuthCount.cnt.hour1,0.1041,continuous,220,1,predictor
7,DomesticAuthCount.cnt.hour3,0.1026,continuous,221,1,predictor
8,DomesticAuthCount.cnt.hour4,0.1022,continuous,222,1,predictor
9,DomesticAuthCount.cnt.hour10,0.0963,continuous,223,1,predictor
10,DomesticAuthCount.cnt.hour15,0.0959,continuous,224,1,predictor
11,DomesticAuthCounter.cnt.day.present,0.0951,continuous,167,1,predictor
12,DomesticAuthCount.cnt.hour25,0.0931,continuous,225,1,predictor
13,OnlinePOSCountForever.cnt.present,0.0866,continuous,247,1,predictor
14,POSTerminalAttendedAuthCount.cnt.day.present,0.0859,continuous,188,1,predictor
15,CustomerNotPresentAuthCount.cnt.day.present,0.0845,continuous,241,1,predictor
16,DvcVerificationCap,0.0824,continuous,45,1,predictor
17,ECommerceAuthCount.cnt.day.present,0.0783,continuous,207,1,predictor
18,PosTerminalAttended,0.0777,categorical,48,1,predictor
19,TxnChannelCode,0.0773,categorical,4,1,predictor
20,CustomerPresentIndicator,0.0768,categorical,47,1,predictor
21,OnlineNewMerchCtryCntDaily.cnt.day.present,0.0736,continuous,202,1,predictor
22,OnlineNewMerchCtryCntHourly.cnt.hour24,0.0735,continuous,86,1,predictor
23,OnlineNewMerchCtryCntHourly.cnt.hour15,0.0732,continuous,85,1,predictor
24,OnlineNewMerchCtryCntHourly.cnt.hour10,0.0729,continuous,84,1,predictor
25,DvcPosEntryMode,0.0717,categorical,44,1,predictor
26,OnlineNewMerchCtryCntHourly.cnt.hour3,0.0713,continuous,82,1,predictor
27,OnlineNewMerchCtryCntHourly.cnt.hour4,0.0709,continuous,83,1,predictor
28,OnlineNewMerchCtryCntDaily.cnt.day.total,0.0707,continuous,201,1,predictor
29,NotECommerceAuthCount.cnt.day.present,0.0691,continuous,227,1,predictor
30,NewMerchantCountryCount.cnt.hour15,0.0687,continuous,345,1,predictor
31,OnlineNewMerchCtryCntHourly.cnt.hour1,0.0687,continuous,81,1,predictor
32,NewMerchantCountryCount.cnt.hour10,0.068,continuous,344,1,predictor
33,NewMerchantCountryCount.cnt.hour24,0.0679,continuous,346,1,predictor
34,ECommerceFlag,0.0662,categorical,66,1,predictor
35,NewMerchantCountryCount.cnt.hour4,0.0651,continuous,343,1,predictor
36,NewMerchantCountryCount.cnt.hour3,0.0648,continuous,342,1,predictor
37,AuthResponse,0.0642,categorical,27,1,predictor
38,NewMerchantCountryCount.cnt.hour1,0.0621,continuous,341,1,predictor
39,AmountBase,0.0575,continuous,34,1,predictor
40,CardType,0.056,categorical,38,1,predictor
41,POSSum.acc.month.total,0.056,continuous,102,1,predictor
42,NotECommerceAuthAmount.acc.day.total,0.056,continuous,125,1,predictor
43,NonEMVTransactionsAcc.acc.day.total,0.056,continuous,152,1,predictor
44,POSTerminalAttendedAuthAmount.acc.day.total,0.056,continuous,87,1,predictor
45,CustomerPresentAuthAmount.acc.day.total,0.056,continuous,354,1,predictor
46,EMVTransactionsAcc.acc.day.total,0.056,continuous,334,1,predictor
47,CustomerNotPresentAuthAmount.acc.day.total,0.056,continuous,173,1,predictor
48,HourlyAuthAmt.acc.hour25,0.056,continuous,137,1,predictor
49,NonEMVTransactionsAcc.acc.day.present,0.056,continuous,153,1,predictor
50,NotECommerceAuthAmount.acc.day.present,0.056,continuous,126,1,predictor
51,CustomerNotPresentAuthAmount.acc.day.present,0.056,continuous,174,1,predictor
52,POSTerminalAttendedAuthAmount.acc.day.present,0.056,continuous,88,1,predictor
53,CustomerPresentAuthAmount.acc.day.present,0.056,continuous,355,1,predictor
54,HighRiskPOSSum.acc.hour.total,0.056,continuous,372,1,predictor
55,EMVTransactionsAcc.acc.day.present,0.056,continuous,355,1,predictor
56,Fraud,0,categorical,72,1,label
